alias am_lat am_lat_std am_lon am_lon_std am_ele am_ele_std network stacode h_dist v_dist level lat lon ele elg
A0033 42.773806 0.000012 13.293500 0.000000 0.770 0.000 MAC AQ1 0.0000 0.0000 0 42.773800 13.293500 0.770 0.742
A0033 42.773806 0.000012 13.293500 0.000000 0.770 0.000 ING AQT1 0.0000 0.0000 1 42.773800 13.293500 0.770 NULL
A0033 42.773806 0.000012 13.293500 0.000000 0.770 0.000 RSM AQT1 0.0000 0.0000 1 42.773800 13.293500 0.770 0.742
A0033 42.773806 0.000012 13.293500 0.000000 0.770 0.000 IV AQT1 0.0033 0.0000 1 42.773830 13.293500 0.770 NULL
A0034 42.353933 0.000094 13.404000 0.001414 0.716 0.009 ING AQU 0.0000 0.0000 0 42.353800 13.402000 0.729 0.731
A0034 42.353933 0.000094 13.404000 0.001414 0.716 0.009 IV AQU 0.2482 0.0190 1 42.354000 13.405000 0.710 NULL
A0034 42.353933 0.000094 13.404000 0.001414 0.716 0.009 MN AQU 0.2482 0.0190 1 42.354000 13.405000 0.710 NULL
A0035 43.498114 0.000195 12.941646 0.000277 0.468 0.014 ING AR1 0.0000 0.0000 0 43.498500 12.942200 0.495 0.438
A0035 43.498114 0.000195 12.941646 0.000277 0.468 0.014 ING ARV 0.0793 0.0340 1 43.498000 12.941500 0.461 0.442
A0035 43.498114 0.000195 12.941646 0.000277 0.468 0.014 ING ARVD 0.0793 0.0340 1 43.498000 12.941500 0.461 NULL
A0035 43.498114 0.000195 12.941646 0.000277 0.468 0.014 IV ARVD 0.0722 0.0340 1 43.498070 12.941530 0.461 NULL
A0036 42.851850 0.000050 11.475350 0.000050 1.080 0.000 ING ARCI 0.0000 0.0000 0 42.851800 11.475300 1.080 NULL
A0036 42.851850 0.000050 11.475350 0.000050 1.080 0.000 IV ARCI 0.0138 0.0000 1 42.851900 11.475400 1.080 NULL
A0037 40.316300 0.000000 16.032200 0.000000 0.989 0.000 AAG ARME 0.0000 0.0000 0 40.316300 16.032200 0.989 0.975
A0037 40.316300 0.000000 16.032200 0.000000 0.989 0.000 ING ARME 0.0000 0.0000 1 40.316300 16.032200 0.989 0.975
A0037 40.316300 0.000000 16.032200 0.000000 0.989 0.000 AGR ARME 0.0000 0.0000 1 40.316300 16.032200 0.989 0.975
A0038 42.579192 0.000013 12.765693 0.000013 0.253 0.000 ING ARRO 0.0000 0.0000 0 42.579200 12.765700 0.253 NULL
A0038 42.579192 0.000013 12.765693 0.000013 0.253 0.000 UMB ARRO 0.0000 0.0000 1 42.579200 12.765700 0.253 0.239
A0038 42.579192 0.000013 12.765693 0.000013 0.253 0.000 BIN ARRO 0.0000 0.0000 1 42.579200 12.765700 0.253 0.239
A0038 42.579192 0.000013 12.765693 0.000013 0.253 0.000 IV ARRO 0.0041 0.0000 1 42.579170 12.765670 0.253 NULL
A0039 47.250500 0.000000 15.523200 0.000000 0.577 0.000 ING ARSA 0.0000 0.0000 0 47.250500 15.523200 0.577 0.749
A0039 47.250500 0.000000 15.523200 0.000000 0.577 0.000 RSF ARSA 0.0000 0.0000 1 47.250500 15.523200 0.577 0.749
A0039 47.250500 0.000000 15.523200 0.000000 0.577 0.000 OE ARSA 0.0000 0.0000 1 47.250500 15.523200 0.577 NULL
A0040 43.062820 0.000300 12.651863 0.000253 0.802 0.006 ING AS1 0.0000 0.0000 0 43.062300 12.652300 0.792 0.835
A0040 43.062820 0.000300 12.651863 0.000253 0.802 0.006 ING ASS 0.0918 0.0130 1 43.063000 12.651700 0.805 NULL
A0040 43.062820 0.000300 12.651863 0.000253 0.802 0.006 IV ASS 0.0878 0.0130 1 43.062980 12.651750 0.805 NULL
A0041 40.841000 0.000000 14.159200 0.000000 0.100 0.000 OSV ASE 0.0000 0.0000 0 40.841000 14.159200 0.100 0.125
A0042 40.840300 0.000100 14.140100 0.000900 0.217 0.017 OSV ASO 0.0000 0.0000 0 40.840200 14.141000 0.200 0.230
A0042 40.840300 0.000100 14.140100 0.000900 0.217 0.017 IV CAWE 0.1534 0.0350 1 40.840400 14.139200 0.235 NULL
A0043 45.804800 0.000000 11.918000 0.000000 0.221 0.000 MIL ASO2 0.0000 0.0000 0 45.804800 11.918000 0.221 0.263
A0043 45.804800 0.000000 11.918000 0.000000 0.221 0.000 ING ASOL 0.0000 0.0000 1 45.804800 11.918000 0.221 0.263
A0043 45.804800 0.000000 11.918000 0.000000 0.221 0.000 MIL ASOL 0.0000 0.0000 1 45.804800 11.918000 0.221 0.263
A0044 43.796700 0.000000 11.789300 0.000000 0.860 0.000 ING ASQU 0.0000 0.0000 0 43.796700 11.789300 0.860 0.860
A0044 43.796700 0.000000 11.789300 0.000000 0.860 0.000 IV ASQU 0.0000 0.0000 1 43.796700 11.789300 0.860 NULL
A0045 43.041575 0.001132 12.659275 0.000585 0.732 0.003 ING ASSB 0.0000 0.0000 0 43.042700 12.658700 0.734 NULL
A0045 43.041575 0.001132 12.659275 0.000585 0.732 0.003 BIN SU9 0.3181 0.0050 1 43.040000 12.660000 0.729 0.681
A0045 43.041575 0.001132 12.659275 0.000585 0.732 0.003 UMB SUBA 0.2057 0.0050 1 43.041000 12.659700 0.729 0.709
A0045 43.041575 0.001132 12.659275 0.000585 0.732 0.003 IV ASSB 0.0111 0.0000 1 43.042600 12.658700 0.734 NULL
A0046 42.782000 0.000000 13.588300 0.000000 1.644 0.000 RSM AT5 0.0000 0.0000 0 42.782000 13.588300 1.644 1.616
A0046 42.782000 0.000000 13.588300 0.000000 1.644 0.000 RSM AT6 0.0000 0.0000 1 42.782000 13.588300 1.644 1.616
A0047 38.159195 0.000517 15.464155 0.000956 1.101 0.051 ING AT9 0.0000 0.0000 0 38.158300 15.462500 1.013 1.010
A0047 38.159195 0.000517 15.464155 0.000956 1.101 0.051 ING ATN 0.2343 0.1170 1 38.159500 15.464700 1.130 1.117
A0047 38.159195 0.000517 15.464155 0.000956 1.101 0.051 IV ATN 0.2345 0.1170 1 38.159480 15.464720 1.130 NULL
A0048 43.475705 0.000005 12.548290 0.000010 1.000 0.000 ING ATBU 0.0000 0.0000 0 43.475700 12.548300 1.000 NULL
A0048 43.475705 0.000005 12.548290 0.000010 1.000 0.000 IV ATBU 0.0020 0.0000 1 43.475710 12.548280 1.000 NULL
A0049 43.565845 0.000045 12.266170 0.000030 0.688 0.000 ING ATCA 0.0000 0.0000 0 43.565800 12.266200 0.688 0.689
A0049 43.565845 0.000045 12.266170 0.000030 0.688 0.000 IV ATCA 0.0111 0.0000 1 43.565890 12.266140 0.688 NULL
A0050 43.185170 0.000030 12.639970 0.000030 0.557 0.000 ING ATCC 0.0000 0.0000 0 43.185200 12.640000 0.557 0.589
A0050 43.185170 0.000030 12.639970 0.000030 0.557 0.000 IV ATCC 0.0083 0.0000 1 43.185140 12.639940 0.557 NULL
A0051 43.366650 0.000050 12.571500 0.000000 0.960 0.000 ING ATFO 0.0000 0.0000 0 43.366700 12.571500 0.960 0.980
A0051 43.366650 0.000050 12.571500 0.000000 0.960 0.000 IV ATFO 0.0111 0.0000 1 43.366600 12.571500 0.960 NULL
A0052 37.972200 0.000000 23.716700 0.000000 0.095 0.000 UNKNOWN ATH 0.0000 0.0000 0 37.972200 23.716700 0.095 0.085
